Passenger Email,Travel Insurance?,Purchase Date,Travel Date,Fare Type,Ticket Price,Route,Row_ID,Person
rbeeghly@axiom.com,FALSE,12/09/2016,01/04/2017,Economy,86,DAL-ATL,637,Rob Beeghly
jbarnett@axiom.com,FALSE,11/29/2016,01/04/2017,First Class,237,DAL-ATL,402,Julia Barnett
dreichenbach@axiom.com,TRUE,10/21/2016,01/02/2017,Economy,62,DAL-LGA,191,Dan Reichenbach
dreichenbach@axiom.com,TRUE,11/25/2016,01/02/2017,Economy,81,DAL-MDW,191,Dan Reichenbach
rbeeghly@axiom.com,FALSE,12/30/2016,01/04/2017,Business,169,DAL-LGA,637,Rob Beeghly
nschneider@axiom.com,FALSE,11/10/2016,01/04/2017,Business,93,DAL-ELP,566,Neola Schneider
swooten@axiom.com,FALSE,10/23/2016,01/01/2017,Economy,78,DAL-HOU,682,Scot Wooten
aratner@axiom.com,FALSE,12/16/2016,01/02/2017,Economy,84,DAL-AUS,38,Anemone Ratner
aratner@axiom.com,TRUE,12/10/2016,01/02/2017,Economy,78,DAL-PHX,38,Anemone Ratner
sshariari@axiom.com,FALSE,11/16/2016,01/03/2017,Economy,116,DAL-PHX,693,Shahid Shariari
swooten@axiom.com,FALSE,12/09/2016,01/01/2017,Economy,90,DAL-PHX,682,Scot Wooten
aratner@axiom.com,FALSE,12/28/2016,01/02/2017,Business,102,DAL-SEA,38,Anemone Ratner
sshariari@axiom.com,TRUE,12/05/2016,01/03/2017,Economy,116,DAL-MDW,693,Shahid Shariari
aratner@axiom.com,FALSE,9/29/2016,01/02/2017,First Class,222,DAL-HOU,38,Anemone Ratner
swooten@axiom.com,FALSE,12/01/2016,01/01/2017,Economy,72,DAL-AMA,682,Scot Wooten
aratner@axiom.com,FALSE,11/16/2016,01/02/2017,Economy,104,DAL-OKC,38,Anemone Ratner
swooten@axiom.com,FALSE,10/22/2016,01/01/2017,Business,115,DAL-LGA,682,Scot Wooten
aratner@axiom.com,FALSE,10/13/2016,01/02/2017,Economy,141,DAL-TUL,38,Anemone Ratner
swooten@axiom.com,FALSE,11/20/2016,01/01/2017,Economy,149,DAL-PHX,682,Scot Wooten
aratner@axiom.com,FALSE,12/14/2016,01/02/2017,Economy,95,DAL-OKC,38,Anemone Ratner
ccortes@axiom.com,FALSE,12/14/2016,01/05/2017,Economy,106,DAL-AMA,147,Chris Cortes
kducich@axiom.com,FALSE,09/09/2017,11/30/2017,Business,157,DAL-HOU,422,Katherine Ducich
hglantz@axiom.com,FALSE,6/26/2017,09/08/2017,First Class,275,DAL-AMA,334,Hunter Glantz
