Passenger Email,Travel Insurance?,Purchase Date,Travel Date,Fare Type,Ticket Price,Route,Row_ID,Person
nlomonaco@axiom.com,FALSE,8/28/2016,09/10/2016,Economy,60,DAL-MDW,553,Nancy Lomonaco
npatel@axiom.com,FALSE,05/05/2016,06/11/2016,Economy,150,DAL-SLC,554,Naresj Patel
npatel@axiom.com,TRUE,8/21/2016,9/21/2016,Economy,68,DAL-AMA,554,Naresj Patel
ngilpin@axiom.com,FALSE,4/21/2016,6/28/2016,Business,160,DAL-SLC,556,Nat Gilpin
ndecherney@axiom.com,FALSE,6/14/2016,6/25/2016,Economy,65,DAL-OKC,557,Natalie DeCherney
ndecherney@axiom.com,FALSE,9/14/2016,12/02/2016,Economy,126,DAL-MDW,557,Natalie DeCherney
ndecherney@axiom.com,FALSE,5/29/2016,6/25/2016,Business,121,DAL-HOU,557,Natalie DeCherney
ndecherney@axiom.com,TRUE,06/03/2016,6/25/2016,Economy,83,DAL-GRR,557,Natalie DeCherney
ndecherney@axiom.com,TRUE,5/30/2016,6/25/2016,Economy,141,DAL-TUL,557,Natalie DeCherney
ndecherney@axiom.com,FALSE,5/23/2016,6/25/2016,Economy,66,DAL-AMA,557,Natalie DeCherney
ndecherney@axiom.com,FALSE,11/10/2016,12/02/2016,Economy,122,DAL-AUS,557,Natalie DeCherney
ndecherney@axiom.com,FALSE,6/14/2016,6/25/2016,Business,146,DAL-LGA,557,Natalie DeCherney
ndecherney@axiom.com,FALSE,9/13/2016,12/02/2016,Economy,152,DAL-PHX,557,Natalie DeCherney
nwebber@axiom.com,FALSE,9/21/2016,11/08/2016,Economy,63,DAL-GRR,559,Natalie Webber
nwebber@axiom.com,FALSE,8/22/2016,11/08/2016,Economy,158,DAL-ELP,559,Natalie Webber
ngelder@axiom.com,FALSE,4/23/2016,5/21/2016,Economy,71,DAL-HOU,561,Nathan Gelder
nducich@axiom.com,TRUE,09/12/2016,11/22/2016,Economy,92,DAL-AMA,563,Neil Ducich
nknudson@axiom.com,FALSE,11/17/2016,11/28/2016,Economy,61,DAL-AMA,565,Neil Knudson
ncrebassa@axiom.com,FALSE,03/09/2016,05/09/2016,First Class,265,DAL-ATL,568,Nick Crebassa
ncrebassa@axiom.com,FALSE,3/14/2016,05/09/2016,Economy,60,DAL-AUS,568,Nick Crebassa
ncrebassa@axiom.com,TRUE,3/28/2016,05/09/2016,Economy,95,DAL-AUS,568,Nick Crebassa
nfjeld@axiom.com,FALSE,3/15/2016,5/16/2016,Economy,115,DAL-PHX,572,Nicole Fjeld
nfjeld@axiom.com,FALSE,4/19/2016,5/16/2016,Economy,110,DAL-OKC,572,Nicole Fjeld
nfjeld@axiom.com,FALSE,3/31/2016,5/16/2016,Business,109,DAL-LGA,572,Nicole Fjeld
nstaavos@axiom.com,FALSE,02/06/2016,04/10/2016,Economy,157,DAL-OKC,575,Noel Staavos
nbalk@axiom.com,TRUE,3/18/2016,04/09/2016,Economy,55,DAL-SEA,576,Nona Balk
npaige@axiom.com,TRUE,10/27/2016,11/18/2016,Economy,154,DAL-MDW,577,Nora Paige
npreis@axiom.com,FALSE,04/07/2016,05/08/2016,Economy,66,DAL-HOU,579,Nora Preis
pstobb@axiom.com,FALSE,1/28/2016,3/26/2016,Economy,74,DAL-MDW,583,Pamela Stobb
pstobb@axiom.com,FALSE,12/11/2015,3/26/2016,Economy,142,DAL-PHX,583,Pamela Stobb
pstobb@axiom.com,FALSE,9/26/2016,10/25/2016,Business,90,DAL-MDW,583,Pamela Stobb
phirasaki@axiom.com,FALSE,10/30/2015,01/08/2016,Economy,155,DAL-HOU,585,Patricia Hirasaki
phirasaki@axiom.com,FALSE,12/04/2015,01/08/2016,Economy,135,DAL-MDW,585,Patricia Hirasaki
phirasaki@axiom.com,FALSE,12/24/2015,01/08/2016,First Class,196,DAL-SEA,585,Patricia Hirasaki
po'brill@axiom.com,FALSE,10/17/2016,12/21/2016,Economy,138,DAL-SLC,589,Patrick O'Brill
po'brill@axiom.com,FALSE,11/27/2016,12/21/2016,Economy,138,DAL-HOU,589,Patrick O'Brill
po'brill@axiom.com,FALSE,12/11/2016,12/21/2016,Business,168,DAL-SLC,589,Patrick O'Brill
po'brill@axiom.com,FALSE,11/29/2016,12/21/2016,Economy,93,DAL-MDW,589,Patrick O'Brill
pgonzalez@axiom.com,TRUE,10/25/2016,11/20/2016,Economy,104,DAL-AUS,592,Paul Gonzalez
pgonzalez@axiom.com,FALSE,10/09/2016,11/20/2016,Economy,169,DAL-SLC,592,Paul Gonzalez
ttrevino@axiom.com,TRUE,09/03/2016,11/19/2016,Business,111,DAL-AUS,737,Ted Trevino
ttrevino@axiom.com,FALSE,10/17/2016,11/19/2016,Economy,139,DAL-GRR,737,Ted Trevino
ttrevino@axiom.com,TRUE,9/22/2016,10/03/2016,Economy,106,DAL-OKC,737,Ted Trevino
ttrevino@axiom.com,FALSE,10/12/2016,11/19/2016,Business,176,DAL-LGA,737,Ted Trevino
thendricks@axiom.com,FALSE,10/15/2016,10/31/2016,Economy,109,DAL-ELP,739,Thea Hendricks
thendricks@axiom.com,TRUE,9/24/2016,10/31/2016,Economy,113,DAL-CLE,739,Thea Hendricks
thendricks@axiom.com,FALSE,9/18/2016,10/31/2016,Economy,132,DAL-HOU,739,Thea Hendricks
thendricks@axiom.com,FALSE,9/27/2016,10/31/2016,Economy,151,DAL-CLE,739,Thea Hendricks
thendricks@axiom.com,TRUE,9/14/2016,10/31/2016,Economy,139,DAL-MDW,739,Thea Hendricks
thudgings@axiom.com,FALSE,11/23/2016,12/25/2016,Economy,110,DAL-GRR,740,Thea Hudgings
thudgings@axiom.com,FALSE,12/06/2016,12/25/2016,Economy,114,DAL-LAS,740,Thea Hudgings
thudgings@axiom.com,FALSE,11/24/2016,12/25/2016,Economy,159,DAL-AUS,740,Thea Hudgings
tpippenger@axiom.com,FALSE,7/16/2016,8/20/2016,Economy,95,DAL-SLC,741,Theone Pippenger
tswint@axiom.com,FALSE,8/22/2016,9/13/2016,First Class,248,DAL-ELP,743,Theresa Swint
tswint@axiom.com,FALSE,08/04/2016,9/13/2016,Economy,91,DAL-TUL,743,Theresa Swint
thouse@axiom.com,TRUE,07/07/2016,11/14/2016,Economy,145,DAL-LAS,748,Tiffany House
thouse@axiom.com,FALSE,10/05/2016,11/14/2016,Economy,120,DAL-PHX,748,Tiffany House
thouse@axiom.com,TRUE,10/18/2016,11/14/2016,Economy,122,DAL-ATL,748,Tiffany House
ttaslimi@axiom.com,FALSE,7/13/2016,08/09/2016,Economy,153,DAL-PHX,750,Tim Taslimi
ttaslimi@axiom.com,TRUE,7/26/2016,08/09/2016,Business,112,DAL-AUS,750,Tim Taslimi
