Passenger Email,Travel Insurance?,Purchase Date,Travel Date,Fare Type,Ticket Price,Route,Row_ID,Person
myedwab@axiom.com,FALSE,9/21/2018,11/25/2018,Business,172,DAL-ATL,552,Muhammed Yedwab
myedwab@axiom.com,FALSE,11/17/2018,11/25/2018,Economy,140,DAL-HOU,552,Muhammed Yedwab
ncarroll@axiom.com,FALSE,11/17/2018,11/26/2018,Economy,134,DAL-MDW,555,Nat Carroll
ncarroll@axiom.com,FALSE,10/28/2018,11/26/2018,Economy,122,DAL-AUS,555,Nat Carroll
ncarroll@axiom.com,FALSE,11/09/2018,11/26/2018,Economy,89,DAL-LGA,555,Nat Carroll
ncarroll@axiom.com,FALSE,10/21/2018,11/26/2018,Economy,91,DAL-ELP,555,Nat Carroll
ncarroll@axiom.com,FALSE,11/11/2018,11/26/2018,Economy,72,DAL-LGA,555,Nat Carroll
ncarroll@axiom.com,FALSE,11/06/2018,11/26/2018,Economy,85,DAL-ATL,555,Nat Carroll
nfritzler@axiom.com,TRUE,8/15/2018,11/24/2018,Economy,111,DAL-SEA,558,Natalie Fritzler
nfritzler@axiom.com,FALSE,11/09/2018,11/24/2018,Economy,158,DAL-ELP,558,Natalie Fritzler
nfritzler@axiom.com,FALSE,10/29/2018,11/24/2018,First Class,277,DAL-ELP,558,Natalie Fritzler
nfritzler@axiom.com,FALSE,10/24/2018,11/24/2018,Economy,147,DAL-LGA,558,Natalie Fritzler
nwebber@axiom.com,FALSE,02/04/2018,3/13/2018,Economy,140,DAL-LGA,559,Natalie Webber
nwebber@axiom.com,FALSE,02/12/2018,3/13/2018,Economy,93,DAL-HOU,559,Natalie Webber
nmautz@axiom.com,FALSE,8/16/2018,10/21/2018,Economy,91,DAL-HOU,562,Nathan Mautz
nmautz@axiom.com,TRUE,9/20/2018,10/21/2018,Economy,134,DAL-AUS,562,Nathan Mautz
nmautz@axiom.com,FALSE,9/27/2018,10/21/2018,Business,158,DAL-AUS,562,Nathan Mautz
nmautz@axiom.com,FALSE,09/06/2018,10/21/2018,Economy,97,DAL-AUS,562,Nathan Mautz
nducich@axiom.com,FALSE,02/09/2018,3/22/2018,Economy,76,DAL-PHX,563,Neil Ducich
nfranzösisch@axiom.com,FALSE,3/24/2018,4/18/2018,Economy,104,DAL-LAS,564,Neil Französisch
nknudson@axiom.com,FALSE,01/04/2018,2/13/2018,Economy,69,DAL-PHX,565,Neil Knudson
nschneider@axiom.com,FALSE,10/01/2018,11/11/2018,First Class,271,DAL-HOU,566,Neola Schneider
nschneider@axiom.com,FALSE,7/25/2018,11/11/2018,First Class,276,DAL-MDW,566,Neola Schneider
nzandusky@axiom.com,FALSE,8/19/2018,11/06/2018,First Class,238,DAL-SEA,570,Nick Zandusky
